tid	screen_name
7.16085E+17	AC360
7.19698E+17	AC360
7.19705E+17	AC360
7.24685E+17	AC360
7.26247E+17	AC360
7.23163E+17	ACAResource
7.01242E+17	ACarmona8
6.90899E+17	ACCTPhilly
6.87276E+17	AceofSpadesHQ
7.18078E+17	ACE_Fitzgerald
7.18079E+17	ACE_Fitzgerald
7.18081E+17	ACE_Fitzgerald
7.05885E+17	ackraemer
6.9249E+17	ACLUaz
6.95662E+17	ACLUaz
7.00025E+17	ACLUaz
7.06985E+17	ACLUaz
7.15234E+17	ACLUaz
7.1857E+17	ACLUaz
7.25002E+17	aclukansas
7.25002E+17	aclukansas
7.26136E+17	ACLUofAlaska
7.28267E+17	ACLUofAlaska
7.12251E+17	ACLUofMichigan
7.13828E+17	ACLUofMichigan
7.13416E+17	ACLUofWisconsin
7.17787E+17	acluohio
7.02269E+17	aclutn
7.2171E+17	ACLU_NC
7.04371E+17	ACLU_VT
6.97849E+17	ACLU_WV
7.07607E+17	ACLU_WV
7.15219E+17	ACOGAction
7.15284E+17	ACOGAction
7.20379E+17	acoreynews
6.97575E+17	Acosta
7.11649E+17	Acosta
7.11986E+17	Acosta
7.17887E+17	Acosta
7.22788E+17	Acosta
7.20609E+17	ACPressHuba
7.07443E+17	acquit808
7.17461E+17	ACSCANCA
7.29843E+17	ACS_AZ
6.87396E+17	action3news
6.91796E+17	action3news
6.97161E+17	action3news
6.99437E+17	action3news
7.28415E+17	action3news
7.29005E+17	action3news
6.86711E+17	Action_NC
6.90178E+17	ActiveHeroes
6.9018E+17	ActiveHeroes
7.2837E+17	actv
6.85132E+17	ACUConservative
6.85135E+17	ACUConservative
6.85137E+17	ACUConservative
6.85138E+17	ACUConservative
6.85138E+17	ACUConservative
6.8514E+17	ACUConservative
6.85141E+17	ACUConservative
6.85141E+17	ACUConservative
6.85144E+17	ACUConservative
6.85158E+17	ACUConservative
7.18122E+17	ACUConservative
7.2362E+17	ACUConservative
7.16469E+17	acurliss
6.86311E+17	AdaCountyTARs
6.86599E+17	AdaCountyTARs
7.03067E+17	AdaCountyTARs
7.08106E+17	AdaCountyTARs
6.972E+17	AdaElections
6.91601E+17	AdamAton
6.84047E+17	adambeam
6.98132E+17	adambeam
7.01515E+17	adambeam
7.03222E+17	adambeam
7.21053E+17	adambeam
6.93144E+17	AdamBressler
7.28676E+17	AdamDriggs
7.07345E+17	AdamEbbin
7.07648E+17	AdamEbbin
7.04439E+17	AdamGhassemi
6.86647E+17	AdamGrayCA
6.92432E+17	AdamGrayCA
7.01849E+17	AdamGrayCA
7.095E+17	AdamHasner
6.9652E+17	AdamHBeasley
7.17471E+17	AdamKilgoreWP
7.17471E+17	AdamKilgoreWP
7.18955E+17	AdamKwasman
6.85241E+17	AdamLaxalt
6.85244E+17	AdamLaxalt
6.85293E+17	AdamLaxalt
6.86726E+17	AdamLaxalt
6.87087E+17	AdamLaxalt
6.87807E+17	AdamLaxalt
6.88444E+17	AdamLaxalt
6.95099E+17	AdamLaxalt
7.016E+17	AdamLaxalt
7.01865E+17	AdamLaxalt
7.02159E+17	AdamLaxalt
7.10228E+17	AdamLaxalt
6.86666E+17	adamlevine
7.17557E+17	adamliptak
6.93901E+17	AdamLopezFalk
6.93902E+17	AdamLopezFalk
7.07335E+17	adammaytv
6.94367E+17	adamnagourney
7.15524E+17	adamnagourney
7.17532E+17	adamnagourney
6.97533E+17	AdamNeylon
7.04785E+17	adampayne26
7.05477E+17	AdamPFarnsworth
6.92915E+17	adampiper
6.86931E+17	adamputnam
6.98248E+17	adamputnam
7.1484E+17	adamputnam
7.1484E+17	adamputnam
7.14842E+17	adamputnam
7.08688E+17	AdamSerwer
6.95732E+17	AdamSextonWMUR
6.99599E+17	adamslily
7.01441E+17	adamslily
6.90681E+17	adamsmithtimes
7.00725E+17	adamsmithtimes
7.10111E+17	adamsmithtimes
7.11688E+17	adamsmithtimes
7.1806E+17	adamsmithtimes
6.87349E+17	adamsstate
6.92434E+17	AdamVanOsdol
7.15534E+17	AdamVanOsdol
6.9545E+17	adamweber3
7.06319E+17	AdamWGME
6.94502E+17	AdamWollner
7.00719E+17	adamwren
7.00886E+17	adamwren
6.91746E+17	adamzemke
6.86305E+17	Adam_Morfeld
6.87478E+17	Adam_Morfeld
6.89621E+17	Adam_Morfeld
6.92798E+17	Adam_Morfeld
6.97428E+17	Adam_Morfeld
7.0267E+17	Adam_Morfeld
7.09169E+17	Adam_Morfeld
7.09462E+17	Adam_Morfeld
7.12686E+17	Adam_Morfeld
7.1465E+17	Adam_Morfeld
7.17416E+17	Adam_Morfeld
7.19212E+17	Adam_Morfeld
7.19977E+17	Adam_Morfeld
7.20346E+17	Adam_Morfeld
7.25672E+17	Adam_Morfeld
7.26086E+17	Adam_Morfeld
7.27495E+17	Adam_Morfeld
7.27671E+17	Adam_Morfeld
7.27671E+17	Adam_Morfeld
7.27974E+17	Adam_Morfeld
